 INFO  Accepting connections at http://localhost:5050
 HTTP  8/5/2026 11:16:35 PM ::1 GET /
 HTTP  8/5/2026 11:16:35 PM ::1 Returned 200 in 19 ms
 HTTP  8/5/2026 11:16:41 PM ::1 GET /
 HTTP  8/5/2026 11:16:41 PM ::1 Returned 200 in 1 ms
 HTTP  8/5/2026 11:16:56 PM ::1 GET /
 HTTP  8/5/2026 11:16:56 PM ::1 Returned 200 in 3 ms
 HTTP  8/5/2026 11:16:56 PM ::1 GET /static/css/main.030b80ad.css
 HTTP  8/5/2026 11:16:56 PM ::1 GET /static/js/main.e05b41db.js
 HTTP  8/5/2026 11:16:56 PM ::1 GET /manifest.json
 HTTP  8/5/2026 11:16:56 PM ::1 Returned 200 in 5 ms
 HTTP  8/5/2026 11:16:56 PM ::1 Returned 200 in 5 ms
 HTTP  8/5/2026 11:16:56 PM ::1 Returned 200 in 7 ms
 HTTP  8/5/2026 11:16:57 PM ::1 GET /favicon.ico
 HTTP  8/5/2026 11:16:57 PM ::1 GET /logo192.png
 HTTP  8/5/2026 11:16:57 PM ::1 Returned 200 in 3 ms
 HTTP  8/5/2026 11:16:57 PM ::1 Returned 200 in 3 ms
 HTTP  8/5/2026 11:17:01 PM ::1 GET /static/css/main.030b80ad.css
 HTTP  8/5/2026 11:17:01 PM ::1 GET /manifest.json
 HTTP  8/5/2026 11:17:01 PM ::1 Returned 304 in 3 ms
 HTTP  8/5/2026 11:17:01 PM ::1 Returned 304 in 3 ms
 HTTP  8/5/2026 11:17:01 PM ::1 GET /robots.txt
 HTTP  8/5/2026 11:17:01 PM ::1 Returned 200 in 3 ms
 HTTP  8/5/2026 11:17:04 PM ::1 GET /logo192.png
 HTTP  8/5/2026 11:17:04 PM ::1 Returned 304 in 2 ms
